方向,代码,名称,订单价格,订单数量,订单金额,交易状态,已成交@均价,下单时间,类型,期限,盘前竞价,时段,触发价,允许开仓,市场,币种,订单来源,成交数量,成交价格,成交金额,成交时间
买入,MSFT,微软,446.78,6,"2,680.68",全部成交,6@446.76,2024/12/16 10:34:15 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,446.78,"2,233.90",2024/12/16 10:43:10 (美东)
买入,TSLA,特斯拉,445.5,130,"57,915.00",全部成交,130@445.50,2024/12/16 10:33:03 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,130,445.5,"57,915.00",2024/12/16 10:33:28 (美东)
卖出,BABA,阿里巴巴,86.37,700,"60,459.00",全部成交,700@86.37,2024/12/16 10:31:40 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,590,86.37,"50,958.30",2024/12/16 10:32:32 (美东)
买入,MSFT,微软,449.32,40,"17,972.80",全部成交,40@449.32,2024/12/13 10:32:06 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,40,449.32,"17,972.80",2024/12/13 10:32:07 (美东)
买入,TSLA,特斯拉,430.13,60,"25,807.80",全部成交,60@430.13,2024/12/13 10:31:38 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,60,430.13,"25,807.80",2024/12/13 10:31:39 (美东)
卖出,BABA,阿里巴巴,87.58,500,"43,790.00",全部成交,500@87.58,2024/12/13 10:30:54 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,307,87.58,"26,887.06",2024/12/13 10:31:01 (美东)
买入,MSFT,微软,447.63,19,"8,504.97",全部成交,19@447.63,2024/12/10 11:02:58 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,19,447.63,"8,504.97",2024/12/10 11:02:59 (美东)
买入,TSLA,特斯拉,401.56,90,"36,140.40",全部成交,90@401.50,2024/12/10 11:01:06 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,90,401.5,"36,135.00",2024/12/10 11:01:06 (美东)
卖出,BABA,阿里巴巴,89.8,500,"44,900.00",全部成交,500@89.80,2024/12/10 11:00:27 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,100,89.8,"8,980.00",2024/12/10 11:00:27 (美东)
买入,MSFT,微软,442.78,18,"7,970.04",全部成交,18@442.78,2024/12/05 12:35:19 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,18,442.78,"7,970.04",2024/12/05 12:35:20 (美东)
买入,TSLA,特斯拉,370.74,26,"9,639.24",全部成交,26@370.735,2024/12/05 12:27:44 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,26,370.735,"9,639.11",2024/12/05 12:27:44 (美东)
卖出,BABA,阿里巴巴,84.07,200,"16,814.00",全部成交,200@84.07,2024/12/05 12:24:51 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,199,84.07,"16,729.93",2024/12/05 12:26:33 (美东)
买入,TSLA,特斯拉,344.38,10,"3,443.80",全部成交,10@344.265,2024/11/18 09:41:00 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,10,344.265,"3,442.65",2024/11/18 09:41:01 (美东)
买入,TSLA,特斯拉,286.43,10,"2,864.30",全部成交,10@286.43,2024/11/06 09:32:44 (美东),限价单,当日有效,,盘中,,,美股,USD,,10,286.43,"2,864.30",2024/11/06 09:32:46 (美东)
